order_id,order_date,customer_ref,gross_amount,currency,status
ORD-004572,2026-03-12,CUST-38386,2162200,INR,paid
ORD-004573,2026-03-12,CUST-36326,4049800,INR,paid
ORD-004574,2026-03-12,CUST-35233,1241700,INR,paid
ORD-004575,2026-03-13,CUST-39465,2280400,INR,paid
ORD-004576,2026-03-15,CUST-39005,1302100,INR,paid
ORD-004577,2026-03-14,CUST-39042,3688400,INR,paid
ORD-004578,2026-03-15,CUST-37626,2987100,INR,paid
ORD-004579,2026-03-15,CUST-36420,2468400,INR,paid
ORD-004580,2026-03-15,CUST-34778,2355600,INR,paid
ORD-004581,2026-03-17,CUST-39780,840700,INR,paid
ORD-004582,2026-03-17,CUST-38934,4573000,INR,paid
ORD-004583,2026-03-16,CUST-35854,1862000,INR,paid
ORD-004584,2026-03-16,CUST-39752,1540800,INR,paid
ORD-004585,2026-03-17,CUST-39043,3676400,INR,paid
ORD-004586,2026-03-19,CUST-31842,3126200,INR,paid
ORD-004587,2026-03-19,CUST-37566,1704600,INR,paid
ORD-004588,2026-03-22,CUST-35979,3272700,INR,paid
ORD-004589,2026-03-22,CUST-38254,2777400,INR,paid
ORD-004590,2026-03-20,CUST-31987,1998700,INR,paid
ORD-004591,2026-03-23,CUST-35336,4045200,INR,paid
ORD-004592,2026-03-23,CUST-32230,4378100,INR,paid
ORD-004593,2026-03-23,CUST-38700,1075800,INR,paid
ORD-004594,2026-03-22,CUST-34825,4683100,INR,paid
ORD-004595,2026-03-23,CUST-34684,1783700,INR,paid
ORD-004596,2026-03-23,CUST-32170,4294300,INR,paid
ORD-004597,2026-03-24,CUST-35983,4958300,INR,paid
ORD-004598,2026-03-23,CUST-39091,4635700,INR,paid
ORD-004599,2026-03-26,CUST-36281,2918800,INR,paid
ORD-004600,2026-03-24,CUST-31340,4006400,INR,paid
ORD-004601,2026-03-24,CUST-33871,4455800,INR,paid
ORD-004602,2026-03-23,CUST-38142,3133400,INR,paid
ORD-004603,2026-03-26,CUST-33635,2726100,INR,paid
ORD-004604,2026-03-25,CUST-37562,2211400,INR,paid
ORD-004605,2026-03-28,CUST-35136,3655100,INR,paid
ORD-004606,2026-03-27,CUST-39495,57500,INR,paid
ORD-004607,2026-03-27,CUST-34336,2420900,INR,paid
ORD-004608,2026-03-29,CUST-38942,1800100,INR,paid
ORD-004609,2026-03-30,CUST-36092,845700,INR,paid
ORD-004610,2026-03-30,CUST-32859,3659900,INR,paid
ORD-004611,2026-03-31,CUST-38906,3316100,INR,paid
ORD-004612,2026-04-01,CUST-37285,3144700,INR,paid
ORD-004613,2026-04-03,CUST-39319,507500,INR,paid
ORD-004614,2026-04-05,CUST-39023,1800900,INR,paid
ORD-004615,2026-04-06,CUST-36273,2311800,INR,paid
ORD-004616,2026-04-07,CUST-37731,1286300,INR,paid
ORD-004617,2026-04-06,CUST-37247,336000,INR,paid
ORD-004618,2026-04-07,CUST-39230,2580200,INR,paid
ORD-004619,2026-04-07,CUST-37718,3496800,INR,paid
ORD-004620,2026-04-09,CUST-39743,2268700,INR,paid
ORD-004621,2026-04-10,CUST-31589,2540400,INR,paid
ORD-004622,2026-04-12,CUST-35709,4096500,INR,paid
ORD-004623,2026-04-13,CUST-35907,695100,INR,paid
ORD-004624,2026-04-13,CUST-35807,239700,INR,paid
ORD-004625,2026-04-11,CUST-39703,2399200,INR,paid
ORD-004626,2026-04-12,CUST-37268,2750400,INR,paid
ORD-004627,2026-04-13,CUST-31154,1571600,INR,refunded
ORD-004628,2026-04-14,CUST-36662,3099000,INR,paid
ORD-004629,2026-04-16,CUST-38917,3043900,INR,paid
ORD-004630,2026-04-17,CUST-35848,748900,INR,paid
ORD-004631,2026-04-16,CUST-37485,4632700,INR,paid
ORD-004632,2026-04-18,CUST-34771,4024100,INR,paid
ORD-004633,2026-04-22,CUST-31646,4119000,INR,paid
ORD-004634,2026-04-21,CUST-33154,2074600,INR,paid
ORD-004635,2026-04-25,CUST-36995,1201000,INR,paid
ORD-004636,2026-04-24,CUST-38895,3528900,INR,paid
ORD-004637,2026-04-24,CUST-33307,1984200,INR,paid
ORD-004638,2026-04-25,CUST-36993,4992400,INR,paid
ORD-004639,2026-04-27,CUST-35296,3566400,INR,paid
ORD-004640,2026-04-24,CUST-34831,3880900,INR,paid
ORD-004641,2026-04-27,CUST-34627,3139800,INR,paid
ORD-004642,2026-03-23,CUST-31610,8036100,INR,paid
ORD-004643,2026-03-23,CUST-39808,8036100,INR,paid
ORD-004644,2026-03-23,CUST-39851,8036200,INR,paid
ORD-004645,2026-05-02,CUST-35584,2768900,INR,paid
ORD-004646,2026-04-30,CUST-34869,264400,INR,paid
ORD-004647,2026-05-03,CUST-34110,3618200,INR,paid
ORD-004648,2026-05-02,CUST-31350,850500,INR,paid
ORD-004649,2026-05-03,CUST-34363,381400,INR,paid
ORD-004650,2026-05-05,CUST-31047,1465200,INR,paid
ORD-004651,2026-05-05,CUST-33859,1867100,INR,paid
ORD-004652,2026-05-06,CUST-34899,770400,INR,paid
ORD-004653,2026-05-04,CUST-31859,3909100,INR,paid
ORD-004654,2026-05-03,CUST-38803,880700,INR,paid
ORD-004655,2026-05-04,CUST-34630,2987800,INR,paid
ORD-004656,2026-05-06,CUST-37581,2026700,INR,paid
ORD-004657,2026-05-09,CUST-38268,2843600,INR,paid
ORD-004658,2026-05-09,CUST-32077,531600,INR,paid
ORD-004659,2026-05-07,CUST-39693,877000,INR,paid
ORD-004660,2026-05-06,CUST-32875,1982600,INR,paid
ORD-004661,2026-05-09,CUST-32558,2761900,INR,paid
ORD-004662,2026-05-08,CUST-37133,2098300,INR,paid
ORD-004663,2026-05-13,CUST-37106,647800,INR,paid
ORD-004664,2026-05-12,CUST-37930,3730400,INR,paid
ORD-004665,2026-05-14,CUST-36762,4775500,INR,paid
ORD-004666,2026-05-13,CUST-34675,728900,INR,paid
ORD-004667,2026-05-12,CUST-35565,759200,INR,paid
ORD-004668,2026-05-13,CUST-31431,3812400,INR,paid
ORD-004669,2026-05-12,CUST-36063,4041100,INR,paid
ORD-004670,2026-01-30,CUST-31503,2595300,INR,paid
ORD-004671,2026-02-01,CUST-36586,2595400,INR,paid
ORD-004672,2026-05-17,CUST-31816,3769700,INR,paid
ORD-004673,2026-05-17,CUST-37948,4466900,INR,paid
ORD-004674,2026-05-14,CUST-39395,3232800,INR,paid
ORD-004675,2026-05-16,CUST-37476,1906200,INR,refunded
ORD-004676,2026-05-19,CUST-32966,1434300,INR,paid
ORD-004677,2026-05-17,CUST-37230,100600,INR,paid
ORD-004678,2026-05-19,CUST-31694,3540300,INR,paid
ORD-004679,2026-05-19,CUST-37844,2101600,INR,paid
ORD-004680,2026-05-23,CUST-36929,2178400,INR,paid
ORD-004681,2026-05-22,CUST-36084,2905200,INR,paid
ORD-004682,2026-05-23,CUST-33755,4937700,INR,paid
ORD-004683,2026-05-27,CUST-33420,3527300,INR,paid
ORD-004684,2026-05-28,CUST-32235,1342800,INR,paid
ORD-004685,2026-05-26,CUST-38355,1210900,INR,paid
ORD-004686,2026-05-27,CUST-32119,4513800,INR,paid
ORD-004687,2026-04-10,CUST-36086,1165600,INR,paid
ORD-004688,2026-04-07,CUST-35704,1165600,INR,paid
ORD-004689,2026-04-10,CUST-31673,1165600,INR,paid
ORD-004690,2026-06-01,CUST-32696,2157100,INR,paid
ORD-004691,2026-06-04,CUST-38173,2300700,INR,paid
ORD-004692,2026-06-05,CUST-37348,1090300,INR,paid
ORD-004693,2026-06-05,CUST-36483,2728900,INR,paid
ORD-004694,2026-06-05,CUST-37334,481900,INR,paid
ORD-004695,2026-06-05,CUST-33318,1912100,INR,paid
ORD-004696,2026-06-05,CUST-32389,2342500,INR,paid
ORD-004697,2026-06-04,CUST-39625,2078800,INR,paid
ORD-004698,2026-06-08,CUST-33954,3382400,INR,paid
ORD-004699,2026-06-08,CUST-33254,1453700,INR,paid
ORD-004700,2026-06-10,CUST-32658,1065400,INR,paid
ORD-004701,2026-06-10,CUST-33148,3377100,INR,paid
ORD-004702,2026-06-10,CUST-36969,4590600,INR,paid
ORD-004703,2026-06-10,CUST-38356,4482600,INR,paid
ORD-004704,2026-06-11,CUST-38219,3123700,INR,paid
ORD-004705,2026-06-10,CUST-37860,3075600,INR,paid
ORD-004706,2026-06-11,CUST-31855,1112000,INR,paid
ORD-004707,2026-06-15,CUST-33627,4712200,INR,paid
ORD-004708,2026-06-18,CUST-36728,2917000,INR,paid
ORD-004709,2026-06-15,CUST-37127,224700,INR,paid
ORD-004710,2026-06-19,CUST-36494,1521500,INR,paid
ORD-004711,2026-06-18,CUST-38741,1007100,INR,paid
ORD-004712,2026-06-18,CUST-31087,4611700,INR,paid
ORD-004713,2026-06-18,CUST-34894,1029800,INR,paid
ORD-004714,2026-06-21,CUST-38490,2023600,INR,paid
ORD-004715,2026-06-23,CUST-35773,3563000,INR,paid
ORD-004716,2026-06-23,CUST-37826,2863000,INR,refunded
ORD-004717,2026-06-23,CUST-39915,1277500,INR,paid
ORD-004718,2026-06-23,CUST-31714,3374800,INR,paid
ORD-004719,2026-06-20,CUST-31267,4215900,INR,paid
ORD-004720,2026-06-23,CUST-32699,2390200,INR,paid
ORD-004721,2026-06-22,CUST-38613,3628300,INR,paid
ORD-004722,2026-06-21,CUST-32034,4607300,INR,paid
ORD-004723,2026-06-21,CUST-31718,4742600,INR,paid
ORD-004724,2026-06-23,CUST-34132,3427600,INR,paid
ORD-004725,2026-06-24,CUST-36439,1925000,INR,paid
ORD-004726,2026-06-26,CUST-37554,1840500,INR,paid
ORD-004727,2026-06-25,CUST-39508,3301900,INR,paid
ORD-004728,2026-06-28,CUST-33957,1797900,INR,paid
ORD-004729,2026-06-27,CUST-37982,2199000,INR,paid
ORD-004730,2026-07-01,CUST-35499,2980300,INR,paid
ORD-004731,2026-07-01,CUST-37656,4240800,INR,paid
ORD-004732,2026-06-30,CUST-38180,2430900,INR,paid
ORD-004733,2026-06-30,CUST-31531,4278100,INR,paid
ORD-004734,2026-07-01,CUST-38274,4015500,INR,paid
ORD-004735,2026-06-30,CUST-35090,2454800,INR,paid
ORD-004736,2026-07-03,CUST-37341,793400,INR,paid
ORD-004737,2026-07-03,CUST-38312,3730900,INR,paid
ORD-004738,2026-07-01,CUST-33224,1456200,INR,paid
ORD-004739,2026-06-30,CUST-38293,535300,INR,paid
ORD-004740,2026-07-05,CUST-33581,4700000,INR,paid
ORD-004741,2026-07-04,CUST-32989,4714900,INR,paid
ORD-004742,2026-07-04,CUST-31431,1367100,INR,paid
ORD-004743,2026-07-07,CUST-37524,3113100,INR,paid
ORD-004744,2026-07-05,CUST-32209,4748400,INR,paid
ORD-004745,2026-07-06,CUST-39477,871300,INR,paid
ORD-004746,2026-07-10,CUST-31908,1242500,INR,paid
ORD-004747,2026-07-10,CUST-36287,863700,INR,paid
ORD-004748,2026-07-10,CUST-35654,4698600,INR,paid
ORD-004749,2026-07-09,CUST-35497,566800,INR,paid
ORD-004750,2026-07-09,CUST-33763,870300,INR,paid
ORD-004751,2026-07-10,CUST-36532,3928400,INR,paid
ORD-004752,2026-07-10,CUST-37826,4253800,INR,paid
ORD-004753,2026-07-13,CUST-37654,1948300,INR,paid
ORD-004754,2026-07-12,CUST-33590,1999200,INR,paid
ORD-004755,2026-07-12,CUST-36574,2930900,INR,paid
ORD-004756,2026-07-14,CUST-36232,4025800,INR,paid
ORD-004757,2026-07-13,CUST-37071,4861600,INR,paid
ORD-004758,2026-07-14,CUST-32587,852900,INR,paid
ORD-004759,2026-07-14,CUST-37851,381600,INR,paid
ORD-004760,2026-07-15,CUST-36124,1677000,INR,paid
ORD-004761,2026-07-15,CUST-39172,1294000,INR,paid
ORD-004762,2026-07-14,CUST-36782,2627100,INR,paid
ORD-004763,2026-07-16,CUST-32762,3965800,INR,paid
ORD-004764,2026-07-18,CUST-37607,2874100,INR,paid
ORD-004765,2026-07-19,CUST-34190,2448200,INR,paid
ORD-004766,2026-07-17,CUST-38379,2425800,INR,paid
ORD-004767,2026-07-21,CUST-36556,828600,INR,paid
ORD-004768,2026-07-20,CUST-39342,3705800,INR,paid
ORD-004769,2026-07-22,CUST-36457,2680500,INR,paid
ORD-004770,2026-07-19,CUST-39447,3154700,INR,paid
ORD-004771,2026-07-20,CUST-35903,966000,INR,paid
ORD-004772,2026-07-20,CUST-35912,3941000,INR,paid
ORD-004773,2026-07-24,CUST-31437,4465800,INR,paid
ORD-004774,2026-07-21,CUST-34729,3961900,INR,paid
ORD-004775,2026-07-24,CUST-37230,4777700,INR,paid
ORD-004776,2026-07-25,CUST-36140,3802300,INR,paid
ORD-004777,2026-07-24,CUST-39499,2739400,INR,paid
ORD-004778,2026-07-25,CUST-36141,1408800,INR,paid
ORD-004779,2026-07-28,CUST-34151,3630000,INR,paid
ORD-004780,2026-07-28,CUST-35736,1665500,INR,paid
ORD-004781,2026-07-29,CUST-36715,4669600,INR,paid
ORD-004782,2026-07-28,CUST-33400,4484300,INR,paid
ORD-004783,2026-07-31,CUST-36675,1953500,INR,paid
ORD-004784,2026-07-29,CUST-39825,2949100,INR,paid
ORD-004785,2026-07-29,CUST-34921,1826800,INR,paid
ORD-004786,2026-07-31,CUST-31861,1638900,INR,paid
ORD-004787,2026-07-28,CUST-32648,706600,INR,paid
ORD-004788,2026-07-31,CUST-35707,2716700,INR,paid
ORD-004789,2026-08-01,CUST-32466,2154800,INR,paid
ORD-004790,2026-08-03,CUST-31596,1197300,INR,paid
ORD-004791,2026-08-07,CUST-32759,295500,INR,paid
ORD-004792,2026-08-05,CUST-39591,2245700,INR,paid
ORD-004793,2026-08-06,CUST-32846,3286900,INR,paid
ORD-004794,2026-08-08,CUST-36524,4298600,INR,paid
ORD-004795,2026-08-09,CUST-37644,1983400,INR,paid
ORD-004796,2026-08-08,CUST-32563,2852900,INR,paid
ORD-004797,2026-08-09,CUST-35065,1260900,INR,paid
ORD-004798,2026-08-10,CUST-31188,2977700,INR,paid
ORD-004799,2026-08-10,CUST-32937,1764100,INR,paid
ORD-004800,2026-08-11,CUST-35834,4546200,INR,paid
ORD-004801,2026-08-12,CUST-33510,2458700,INR,paid
ORD-004802,2026-08-11,CUST-38715,3031700,INR,paid
ORD-004803,2026-08-12,CUST-32342,3572600,INR,paid
ORD-004804,2026-08-16,CUST-39282,561800,INR,paid
ORD-004805,2026-08-15,CUST-39526,1374800,INR,paid
ORD-004806,2026-08-16,CUST-39009,2945600,INR,paid
ORD-004807,2026-08-17,CUST-31946,3021600,INR,paid
ORD-004808,2026-08-18,CUST-32197,2644800,INR,paid
ORD-004809,2026-08-22,CUST-31520,3596500,INR,paid
ORD-004810,2026-08-20,CUST-38349,4254200,INR,paid
ORD-004811,2026-08-20,CUST-39836,2523900,INR,paid
ORD-004812,2026-08-22,CUST-31057,1219600,INR,paid
ORD-004813,2026-08-24,CUST-36672,2829500,INR,paid
ORD-004814,2026-08-25,CUST-32849,1066600,INR,paid
ORD-004815,2026-08-24,CUST-32103,261100,INR,paid
ORD-004816,2026-08-27,CUST-31798,711200,INR,paid
ORD-004817,2026-08-27,CUST-39844,1653800,INR,paid
ORD-004818,2026-08-26,CUST-36225,3352300,INR,paid
ORD-004819,2026-08-26,CUST-33348,3834500,INR,paid
ORD-004820,2026-08-29,CUST-31769,449400,INR,paid
ORD-004821,2026-08-27,CUST-37689,2307100,INR,paid
ORD-004822,2026-08-28,CUST-39814,1027900,INR,paid
ORD-004823,2026-08-30,CUST-37762,4687100,INR,paid
ORD-004824,2026-08-30,CUST-34332,2779600,INR,paid
ORD-004825,2026-08-31,CUST-32515,2214400,INR,paid
ORD-004826,2026-09-02,CUST-34556,4464900,INR,paid
ORD-004827,2026-09-01,CUST-31252,3191700,INR,paid
ORD-004828,2026-09-01,CUST-38847,1438100,INR,paid
ORD-004829,2026-09-01,CUST-36270,1639800,INR,paid
ORD-004830,2026-09-02,CUST-39402,4301400,INR,paid
ORD-004831,2026-09-01,CUST-38693,3308900,INR,paid
ORD-004832,2026-09-03,CUST-31750,2148600,INR,paid
ORD-004833,2026-09-03,CUST-37842,3736500,INR,paid
ORD-004834,2026-09-03,CUST-37224,1984500,INR,paid
ORD-004835,2026-09-04,CUST-36771,1736400,INR,paid
ORD-004836,2026-09-06,CUST-39883,1159200,INR,paid
ORD-004837,2026-09-07,CUST-32218,4256100,INR,paid
ORD-004838,2026-09-08,CUST-31150,4183300,INR,paid
ORD-004839,2026-09-06,CUST-38917,1483400,INR,paid
ORD-004840,2026-09-07,CUST-35502,3665200,INR,paid
ORD-004841,2026-09-08,CUST-38055,3561000,INR,paid
ORD-004842,2026-09-10,CUST-34949,1224800,INR,paid
ORD-004843,2026-09-08,CUST-37503,1307800,INR,paid
ORD-004844,2026-09-08,CUST-34985,567800,INR,paid
ORD-004845,2026-09-13,CUST-37180,4334300,INR,paid
ORD-004846,2026-09-15,CUST-38110,4656100,INR,paid
ORD-004847,2026-09-16,CUST-38791,328800,INR,paid
ORD-004848,2026-09-17,CUST-35594,1826600,INR,paid
ORD-004849,2026-09-17,CUST-36153,3608800,INR,paid
ORD-004850,2026-09-16,CUST-37526,152600,INR,paid
ORD-004851,2026-09-15,CUST-37376,554200,INR,paid
ORD-004852,2026-09-20,CUST-38162,4567400,INR,paid
ORD-004853,2026-09-20,CUST-37500,1571300,INR,paid
ORD-004854,2026-09-20,CUST-37151,3002700,INR,paid
ORD-004855,2026-09-22,CUST-35840,2880100,INR,paid
ORD-004856,2026-09-23,CUST-37226,1665100,INR,paid
ORD-004857,2026-09-25,CUST-38287,2413800,INR,paid
ORD-004858,2026-09-23,CUST-34071,2408700,INR,paid
ORD-004859,2026-09-22,CUST-32469,2874400,INR,paid
ORD-004860,2026-09-24,CUST-37780,3969300,INR,paid
ORD-004861,2026-09-26,CUST-33779,2591400,INR,paid
ORD-004862,2026-09-23,CUST-35934,4541200,INR,paid
ORD-004863,2026-09-23,CUST-38122,1809000,INR,paid
ORD-004864,2026-09-23,CUST-32261,1858500,INR,paid
ORD-004865,2026-09-24,CUST-39124,2416600,INR,paid
ORD-004866,2026-09-27,CUST-37225,2046600,INR,paid
ORD-004867,2026-09-24,CUST-33231,2209600,INR,paid
ORD-004868,2026-09-28,CUST-35776,3189200,INR,paid
ORD-004869,2026-09-27,CUST-35593,4866000,INR,paid
ORD-004870,2026-09-30,CUST-34435,1359400,INR,paid
ORD-004871,2026-09-29,CUST-37704,2923400,INR,paid
ORD-004872,2026-09-28,CUST-34966,4460400,INR,paid
ORD-004873,2026-09-30,CUST-32212,1705900,INR,paid
ORD-004874,2026-09-28,CUST-37854,2993000,INR,paid
ORD-004875,2026-10-01,CUST-39797,3612800,INR,paid
ORD-004876,2026-10-02,CUST-38053,1140100,INR,paid
ORD-004877,2026-10-02,CUST-39367,744300,INR,paid
ORD-004878,2026-10-01,CUST-38587,4944500,INR,paid
ORD-004879,2026-01-05,CUST-32902,1121200,INR,paid
ORD-004880,2026-01-06,CUST-38461,1121200,INR,paid
ORD-004881,2026-01-04,CUST-38179,1121200,INR,paid
ORD-004882,2026-01-04,CUST-31733,1121200,INR,paid
ORD-004883,2026-10-04,CUST-33624,4487700,INR,paid
ORD-004884,2026-10-04,CUST-38081,1569400,INR,paid
ORD-004885,2026-10-07,CUST-38038,2642400,INR,paid
ORD-004886,2026-10-07,CUST-32026,2598200,INR,paid
ORD-004887,2026-10-07,CUST-34229,3833700,INR,paid
ORD-004888,2026-10-07,CUST-32872,3508400,INR,paid
ORD-004889,2026-10-07,CUST-35874,2330100,INR,paid
ORD-004890,2026-10-09,CUST-34909,4077000,INR,paid
ORD-004891,2026-10-09,CUST-33317,2051300,INR,paid
ORD-004892,2026-10-09,CUST-39805,3817000,INR,paid
ORD-004893,2026-10-11,CUST-33299,4594400,INR,paid
ORD-004894,2026-10-12,CUST-34197,401300,INR,paid
ORD-004895,2026-10-11,CUST-37810,2566200,INR,paid
ORD-004896,2026-10-11,CUST-31506,4703900,INR,paid
ORD-004897,2026-10-12,CUST-39809,1495200,INR,paid
ORD-004898,2026-10-13,CUST-39116,1941800,INR,paid
ORD-004899,2026-10-14,CUST-39899,3652600,INR,paid
ORD-004900,2026-10-14,CUST-35056,3630500,INR,paid
ORD-004901,2026-10-15,CUST-32426,2001000,INR,paid
ORD-004902,2026-10-15,CUST-36745,2927400,INR,paid
ORD-004903,2026-10-12,CUST-34386,4707900,INR,paid
ORD-004904,2026-10-16,CUST-35795,3538300,INR,paid
ORD-004905,2026-10-16,CUST-37744,1946100,INR,paid
ORD-004906,2026-10-16,CUST-33175,438500,INR,paid
ORD-004907,2026-10-18,CUST-35403,1672300,INR,paid
ORD-004908,2026-10-18,CUST-32526,4164400,INR,paid
ORD-004909,2026-10-19,CUST-36363,2690100,INR,paid
ORD-004910,2026-10-20,CUST-37517,4210400,INR,paid
ORD-004911,2026-10-19,CUST-36290,1477500,INR,paid
ORD-004912,2026-10-20,CUST-38952,1908500,INR,paid
ORD-004913,2026-10-22,CUST-38530,2302700,INR,paid
ORD-004914,2026-10-23,CUST-33162,3041800,INR,paid
ORD-004915,2026-10-21,CUST-35490,4309800,INR,paid
ORD-004916,2026-10-21,CUST-33712,661700,INR,paid
ORD-004917,2026-10-20,CUST-34837,389300,INR,paid
ORD-004918,2026-10-23,CUST-34706,57100,INR,paid
ORD-004919,2026-10-22,CUST-34752,840300,INR,paid
ORD-004920,2026-10-25,CUST-37023,2560400,INR,paid
ORD-004921,2026-10-24,CUST-33182,2011100,INR,paid
ORD-004922,2026-10-27,CUST-34491,105500,INR,paid
ORD-004923,2026-10-27,CUST-38249,4166100,INR,paid
