txn_id,txn_type,order_id,captured_at,amount,settlement_id,settled_at
pay_001149,payment,ORD-004559,2026-03-02T11:03:16,939300,setl_00031,2026-03-06
fee_001150,fee,,2026-03-06T00:00:00,-311472,setl_00031,2026-03-06
tax_001151,tax,,2026-03-06T00:00:00,-56064,setl_00031,2026-03-06
pay_001152,payment,ORD-004560,2026-03-04T14:48:53,2261800,setl_00032,2026-03-08
pay_001153,payment,ORD-004561,2026-03-07T21:01:47,1703200,setl_00032,2026-03-08
pay_001154,payment,ORD-004562,2026-03-05T13:41:04,391300,setl_00032,2026-03-08
fee_001155,fee,,2026-03-08T00:00:00,-102808,setl_00032,2026-03-08
tax_001156,tax,,2026-03-08T00:00:00,-18505,setl_00032,2026-03-08
pay_001157,payment,ORD-004563,2026-03-07T13:08:30,4121900,setl_00033,2026-03-09
fee_001158,fee,,2026-03-09T00:00:00,-97276,setl_00033,2026-03-09
tax_001159,tax,,2026-03-09T00:00:00,-17509,setl_00033,2026-03-09
pay_001160,payment,ORD-004564,2026-03-10T09:49:52,2467500,setl_00034,2026-03-12
pay_001161,payment,ORD-004565,2026-03-11T06:59:19,2088400,setl_00034,2026-03-12
pay_001162,payment,ORD-004566,2026-03-10T08:37:44,2649500,setl_00034,2026-03-12
fee_001163,fee,,2026-03-12T00:00:00,-170047,setl_00034,2026-03-12
tax_001164,tax,,2026-03-12T00:00:00,-30608,setl_00034,2026-03-12
pay_001165,payment,ORD-004567,2026-03-13T17:34:27,843300,setl_00035,2026-03-14
pay_001166,payment,ORD-004568,2026-03-11T06:54:26,501900,setl_00035,2026-03-14
pay_001167,payment,ORD-004569,2026-03-10T17:40:57,741600,setl_00035,2026-03-14
pay_001168,payment,ORD-004570,2026-03-12T19:11:46,4685400,setl_00035,2026-03-14
pay_001169,payment,ORD-004571,2026-03-11T21:29:27,4312800,setl_00035,2026-03-14
pay_001170,payment,ORD-004572,2026-03-12T08:17:56,2162200,setl_00035,2026-03-14
fee_001171,fee,,2026-03-14T00:00:00,-312633,setl_00035,2026-03-14
tax_001172,tax,,2026-03-14T00:00:00,-56273,setl_00035,2026-03-14
pay_001173,payment,ORD-004573,2026-03-12T16:01:31,4049800,setl_00036,2026-03-16
pay_001174,payment,ORD-004574,2026-03-12T12:22:51,1241700,setl_00036,2026-03-16
pay_001175,payment,ORD-004575,2026-03-13T14:35:00,2280400,setl_00036,2026-03-16
pay_001176,payment,ORD-004576,2026-03-15T13:46:26,1302100,setl_00036,2026-03-16
pay_001177,payment,ORD-004577,2026-03-14T21:41:45,3688400,setl_00036,2026-03-16
pay_001178,payment,ORD-004578,2026-03-15T08:18:14,2987100,setl_00036,2026-03-16
fee_001179,fee,,2026-03-16T00:00:00,-366968,setl_00036,2026-03-16
tax_001180,tax,,2026-03-16T00:00:00,-66054,setl_00036,2026-03-16
pay_001181,payment,ORD-004579,2026-03-15T17:27:47,2468400,setl_00037,2026-03-19
pay_001182,payment,ORD-004580,2026-03-15T14:19:16,2355600,setl_00037,2026-03-19
pay_001183,payment,ORD-004581,2026-03-17T16:07:47,840700,setl_00037,2026-03-19
pay_001184,payment,ORD-004582,2026-03-17T12:13:47,4573000,setl_00037,2026-03-19
pay_001185,payment,ORD-004583,2026-03-16T09:53:12,1862000,setl_00037,2026-03-19
pay_001186,payment,ORD-004584,2026-03-16T11:19:00,1540800,setl_00037,2026-03-19
fee_001187,fee,,2026-03-19T00:00:00,-321915,setl_00037,2026-03-19
tax_001188,tax,,2026-03-19T00:00:00,-57944,setl_00037,2026-03-19
pay_001189,payment,ORD-004585,2026-03-17T10:40:55,3676400,setl_00038,2026-03-20
fee_001190,fee,,2026-03-20T00:00:00,-86763,setl_00038,2026-03-20
tax_001191,tax,,2026-03-20T00:00:00,-15617,setl_00038,2026-03-20
pay_001192,payment,ORD-004586,2026-03-19T20:21:11,3126200,setl_00039,2026-03-23
pay_001193,payment,ORD-004587,2026-03-19T09:52:04,1704600,setl_00039,2026-03-23
pay_001194,payment,ORD-004588,2026-03-22T07:09:09,3272700,setl_00039,2026-03-23
fee_001195,fee,,2026-03-23T00:00:00,-191242,setl_00039,2026-03-23
tax_001196,tax,,2026-03-23T00:00:00,-34423,setl_00039,2026-03-23
pay_001197,payment,ORD-004589,2026-03-22T18:28:58,2777400,setl_00040,2026-03-24
pay_001198,payment,ORD-004590,2026-03-20T15:36:39,1998700,setl_00040,2026-03-24
pay_001199,payment,ORD-004591,2026-03-23T12:40:13,4045200,setl_00040,2026-03-24
pay_001200,payment,ORD-004592,2026-03-23T11:15:11,4378100,setl_00040,2026-03-24
pay_001201,payment,ORD-004593,2026-03-23T19:28:44,1075800,setl_00040,2026-03-24
fee_001202,fee,,2026-03-24T00:00:00,-336894,setl_00040,2026-03-24
tax_001203,tax,,2026-03-24T00:00:00,-60640,setl_00040,2026-03-24
pay_001204,payment,ORD-004594,2026-03-22T20:04:43,4683100,setl_00041,2026-03-25
pay_001205,payment,ORD-004595,2026-03-23T19:07:34,1783700,setl_00041,2026-03-25
pay_001206,payment,ORD-004596,2026-03-23T14:52:09,4294300,setl_00041,2026-03-25
fee_001207,fee,,2026-03-25T00:00:00,-253961,setl_00041,2026-03-25
tax_001208,tax,,2026-03-25T00:00:00,-45712,setl_00041,2026-03-25
pay_001209,payment,ORD-004597,2026-03-24T20:07:29,4958300,setl_00042,2026-03-27
pay_001210,payment,ORD-004598,2026-03-23T14:32:34,4635700,setl_00042,2026-03-27
pay_001211,payment,ORD-004599,2026-03-26T07:56:27,2918800,setl_00042,2026-03-27
pay_001212,payment,ORD-004600,2026-03-24T06:05:14,4006400,setl_00042,2026-03-27
pay_001213,payment,ORD-004601,2026-03-24T07:48:48,4455800,setl_00042,2026-03-27
pay_001214,payment,ORD-004602,2026-03-23T14:11:37,3133400,setl_00042,2026-03-27
fee_001215,fee,,2026-03-27T00:00:00,-568958,setl_00042,2026-03-27
tax_001216,tax,,2026-03-27T00:00:00,-102412,setl_00042,2026-03-27
pay_001217,payment,ORD-004603,2026-03-26T16:42:06,2726100,setl_00043,2026-03-29
pay_001218,payment,ORD-004604,2026-03-25T21:18:42,2211400,setl_00043,2026-03-29
pay_001219,payment,ORD-004605,2026-03-28T20:05:20,3655100,setl_00043,2026-03-29
fee_001220,fee,,2026-03-29T00:00:00,-202785,setl_00043,2026-03-29
tax_001221,tax,,2026-03-29T00:00:00,-36501,setl_00043,2026-03-29
pay_001222,payment,ORD-004606,2026-03-27T19:03:12,57500,setl_00044,2026-03-31
pay_001223,payment,ORD-004607,2026-03-27T20:48:03,2420900,setl_00044,2026-03-31
pay_001224,payment,ORD-004608,2026-03-29T15:28:56,1800100,setl_00044,2026-03-31
pay_001225,payment,ORD-004609,2026-03-30T13:45:10,845700,setl_00044,2026-03-31
pay_001226,payment,ORD-004610,2026-03-30T19:05:14,3659900,setl_00044,2026-03-31
fee_001227,fee,,2026-03-31T00:00:00,-207304,setl_00044,2026-03-31
tax_001228,tax,,2026-03-31T00:00:00,-37314,setl_00044,2026-03-31
pay_001229,payment,ORD-004611,2026-03-31T14:26:53,3316100,setl_00045,2026-04-03
pay_001230,payment,ORD-004612,2026-04-01T20:35:09,3144700,setl_00045,2026-04-03
fee_001231,fee,,2026-04-03T00:00:00,-152474,setl_00045,2026-04-03
tax_001232,tax,,2026-04-03T00:00:00,-27445,setl_00045,2026-04-03
pay_001233,payment,ORD-004613,2026-04-03T19:21:59,507500,setl_00046,2026-04-06
pay_001234,payment,ORD-004614,2026-04-05T15:46:19,1800900,setl_00046,2026-04-06
fee_001235,fee,,2026-04-06T00:00:00,-54478,setl_00046,2026-04-06
tax_001236,tax,,2026-04-06T00:00:00,-9806,setl_00046,2026-04-06
pay_001237,payment,ORD-004615,2026-04-06T18:29:59,2311800,setl_00047,2026-04-09
pay_001238,payment,ORD-004616,2026-04-07T18:14:54,1286300,setl_00047,2026-04-09
pay_001239,payment,ORD-004617,2026-04-06T21:45:58,336000,setl_00047,2026-04-09
pay_001240,payment,ORD-004618,2026-04-07T21:02:08,2580200,setl_00047,2026-04-09
fee_001241,fee,,2026-04-09T00:00:00,-153737,setl_00047,2026-04-09
tax_001242,tax,,2026-04-09T00:00:00,-27672,setl_00047,2026-04-09
pay_001243,payment,ORD-004619,2026-04-07T06:46:09,3496800,setl_00048,2026-04-11
fee_001244,fee,,2026-04-11T00:00:00,-82524,setl_00048,2026-04-11
tax_001245,tax,,2026-04-11T00:00:00,-14854,setl_00048,2026-04-11
pay_001246,payment,ORD-004620,2026-04-09T08:54:21,2268700,setl_00049,2026-04-13
pay_001247,payment,ORD-004621,2026-04-10T21:55:34,2540400,setl_00049,2026-04-13
pay_001248,payment,ORD-004622,2026-04-12T13:40:43,4096500,setl_00049,2026-04-13
fee_001249,fee,,2026-04-13T00:00:00,-210172,setl_00049,2026-04-13
tax_001250,tax,,2026-04-13T00:00:00,-37830,setl_00049,2026-04-13
pay_001251,payment,ORD-004623,2026-04-13T20:10:44,695100,setl_00050,2026-04-14
pay_001252,payment,ORD-004624,2026-04-13T16:50:03,239700,setl_00050,2026-04-14
pay_001253,payment,ORD-004625,2026-04-11T19:09:15,2399200,setl_00050,2026-04-14
pay_001254,payment,ORD-004626,2026-04-12T11:11:05,2750400,setl_00050,2026-04-14
fee_001255,fee,,2026-04-14T00:00:00,-143591,setl_00050,2026-04-14
tax_001256,tax,,2026-04-14T00:00:00,-25846,setl_00050,2026-04-14
pay_001257,payment,ORD-004627,2026-04-13T14:29:16,1571600,setl_00051,2026-04-17
pay_001258,payment,ORD-004628,2026-04-14T11:04:28,3099000,setl_00051,2026-04-17
fee_001259,fee,,2026-04-17T00:00:00,-110226,setl_00051,2026-04-17
tax_001260,tax,,2026-04-17T00:00:00,-19840,setl_00051,2026-04-17
pay_001261,payment,ORD-004629,2026-04-16T12:24:54,3043900,setl_00052,2026-04-19
pay_001262,payment,ORD-004630,2026-04-17T18:36:22,748900,setl_00052,2026-04-19
pay_001263,payment,ORD-004631,2026-04-16T06:53:42,4632700,setl_00052,2026-04-19
fee_001264,fee,,2026-04-19T00:00:00,-198841,setl_00052,2026-04-19
tax_001265,tax,,2026-04-19T00:00:00,-35791,setl_00052,2026-04-19
pay_001266,payment,ORD-004632,2026-04-18T15:49:51,4024100,setl_00053,2026-04-22
fee_001267,fee,,2026-04-22T00:00:00,-94968,setl_00053,2026-04-22
tax_001268,tax,,2026-04-22T00:00:00,-17094,setl_00053,2026-04-22
pay_001269,payment,ORD-004633,2026-04-22T10:40:06,4119000,setl_00054,2026-04-25
pay_001270,payment,ORD-004634,2026-04-21T07:37:23,2074600,setl_00054,2026-04-25
fee_001271,fee,,2026-04-25T00:00:00,-146168,setl_00054,2026-04-25
tax_001272,tax,,2026-04-25T00:00:00,-26310,setl_00054,2026-04-25
pay_001273,payment,ORD-004635,2026-04-25T10:50:34,1201000,setl_00055,2026-04-27
pay_001274,payment,ORD-004636,2026-04-24T11:16:58,3528900,setl_00055,2026-04-27
pay_001275,payment,ORD-004637,2026-04-24T09:29:04,1984200,setl_00055,2026-04-27
pay_001276,payment,ORD-004638,2026-04-25T18:54:51,4992400,setl_00055,2026-04-27
fee_001277,fee,,2026-04-27T00:00:00,-276273,setl_00055,2026-04-27
tax_001278,tax,,2026-04-27T00:00:00,-49729,setl_00055,2026-04-27
pay_001279,payment,ORD-004639,2026-04-27T20:23:43,3566400,setl_00056,2026-04-28
pay_001280,payment,,2026-04-24T17:06:43,3880900,setl_00056,2026-04-28
pay_001281,payment,ORD-004641,2026-04-27T16:58:39,3139800,setl_00056,2026-04-28
fee_001282,fee,,2026-04-28T00:00:00,-249855,setl_00056,2026-04-28
tax_001283,tax,,2026-04-28T00:00:00,-44973,setl_00056,2026-04-28
pay_001284,payment,ORD-004642,2026-03-23T09:08:02,8036100,setl_00057,2026-03-27
pay_001285,payment,ORD-004643,2026-03-23T09:06:15,8036100,setl_00057,2026-03-27
pay_001286,payment,ORD-004644,2026-03-23T20:23:42,8036200,setl_00057,2026-03-27
fee_001287,fee,,2026-03-27T00:00:00,-568958,setl_00057,2026-03-27
tax_001288,tax,,2026-03-27T00:00:00,-102412,setl_00057,2026-03-27
pay_001289,payment,ORD-004645,2026-05-02T21:39:26,2768900,setl_00058,2026-05-03
pay_001290,payment,ORD-004646,2026-04-30T12:28:28,264400,setl_00058,2026-05-03
fee_001291,fee,,2026-05-03T00:00:00,-71585,setl_00058,2026-05-03
tax_001292,tax,,2026-05-03T00:00:00,-12885,setl_00058,2026-05-03
pay_001293,payment,ORD-004647,2026-05-03T07:25:17,3618200,setl_00059,2026-05-06
pay_001294,payment,ORD-004648,2026-05-02T08:42:13,850500,setl_00059,2026-05-06
pay_001295,payment,ORD-004649,2026-05-03T13:08:50,381400,setl_00059,2026-05-06
fee_001296,fee,,2026-05-06T00:00:00,-114462,setl_00059,2026-05-06
tax_001297,tax,,2026-05-06T00:00:00,-20603,setl_00059,2026-05-06
pay_001298,payment,ORD-004650,2026-05-05T16:49:09,1465200,setl_00060,2026-05-07
pay_001299,payment,ORD-004651,2026-05-05T10:34:16,1867100,setl_00060,2026-05-07
pay_001300,payment,ORD-004652,2026-05-06T10:00:22,770400,setl_00060,2026-05-07
pay_001301,payment,ORD-004653,2026-05-04T06:11:16,3909100,setl_00060,2026-05-07
pay_001302,payment,ORD-004654,2026-05-03T09:47:04,880700,setl_00060,2026-05-07
pay_001303,payment,ORD-004655,2026-05-04T09:28:32,2987800,setl_00060,2026-05-07
fee_001304,fee,,2026-05-07T00:00:00,-280375,setl_00060,2026-05-07
tax_001305,tax,,2026-05-07T00:00:00,-50467,setl_00060,2026-05-07
pay_001306,payment,ORD-004656,2026-05-06T06:03:30,2026700,setl_00061,2026-05-10
pay_001307,payment,ORD-004657,2026-05-09T21:45:58,2843600,setl_00061,2026-05-10
pay_001308,payment,ORD-004658,2026-05-09T16:38:09,531600,setl_00061,2026-05-10
pay_001309,payment,ORD-004659,2026-05-07T16:24:38,877000,setl_00061,2026-05-10
pay_001310,payment,ORD-004660,2026-05-06T19:06:50,1982600,setl_00061,2026-05-10
fee_001311,fee,,2026-05-10T00:00:00,-194971,setl_00061,2026-05-10
tax_001312,tax,,2026-05-10T00:00:00,-35094,setl_00061,2026-05-10
pay_001313,payment,ORD-004661,2026-05-09T20:25:26,2761900,setl_00062,2026-05-12
pay_001314,payment,ORD-004662,2026-05-08T16:42:16,2098300,setl_00062,2026-05-12
fee_001315,fee,,2026-05-12T00:00:00,-114700,setl_00062,2026-05-12
tax_001316,tax,,2026-05-12T00:00:00,-20646,setl_00062,2026-05-12
pay_001317,payment,ORD-004663,2026-05-13T08:27:06,647800,setl_00063,2026-05-14
fee_001318,fee,,2026-05-14T00:00:00,-15288,setl_00063,2026-05-14
tax_001319,tax,,2026-05-14T00:00:00,-2751,setl_00063,2026-05-14
pay_001320,payment,ORD-004664,2026-05-12T09:26:22,3730400,setl_00064,2026-05-15
pay_001321,payment,ORD-004665,2026-05-14T15:38:19,4775500,setl_00064,2026-05-15
