line_id,txn_date,narration,credit,debit,balance,utr
BL-0030,2026-03-01,NEFT CR RAZORPAY SOFTWARE PVT LTD SETL setl_00029,4645527,,204425189,HDFCN26030176556
BL-0031,2026-03-04,NEFT CR RAZORPAY SOFTWARE PVT LTD SETL setl_00030,3716343,,208141532,HDFCN26030454921
BL-0028,2026-03-06,IMPS CR RZP BATCH 14 OF 24 STLMNT27 CYCLE FEB26,5397486,,213539018,HDFCN26030699384
BL-0032,2026-03-07,NEFT CR RAZORPAY SOFTWARE PVT LTD SETL setl_00031,8696564,,222235582,HDFCN26030727742
BL-0033,2026-03-08,NEFT CR RAZORPAY SOFTWARE PVT LTD SETL setl_00032,4234987,,226470569,HDFCN26030832411
BL-0034,2026-03-09,NEFT CR RAZORPAY SOFTWARE PVT LTD SETL setl_00033,4007115,,230477684,HDFCN26030960952
BL-0035,2026-03-12,NEFT CR RAZORPAY SOFTWARE PVT LTD SETL setl_00034,7004745,,237482429,HDFCN26031291382
BL-0036,2026-03-14,NEFT CR RAZORPAY SOFTWARE PVT LTD SETL setl_00035,12878294,,250360723,HDFCN26031498366
BL-0037,2026-03-16,UPI  CR   RAZORPAY*COLLECT TRUNCAT,15116478,,265477201,
BL-0038,2026-03-19,NEFT CR RAZORPAY SOFTWARE PVT LTD SETL setl_00037,13260641,,278737842,HDFCN26031935954
BL-0039,2026-03-20,NEFT CR RAZORPAY SOFTWARE PVT LTD SETL setl_00038,3574020,,282311862,HDFCN26032001607
BL-0040,2026-03-23,NEFT CR RAZORPAY SOFTWARE PVT LTD SETL setl_00039,7877835,,290189697,HDFCN26032332530
BL-0041,2026-03-25,NEFT CR RAZORPAY SOFTWARE PVT LTD SETL setl_00040,13877666,,304067363,HDFCN26032504278
BL-0042,2026-03-25,NEFT CR RAZORPAY SOFTWARE PVT LTD SETL setl_00041,10373327,,314440690,HDFCN26032521747
BL-0043,2026-03-27,NEFT CR   PAYOUT,23437030,,337877720,
BL-0058,2026-03-27,NEFT CR   PAYOUT,23437030,,361314750,
BL-0044,2026-03-30,NEFT CR RAZORPAY SOFTWARE PVT LTD SETL setl_00043,8353314,,369668064,HDFCN26033015194
BL-0045,2026-04-01,NEFT CR RAZORPAY SOFTWARE PVT LTD SETL setl_00044,8539482,,378207546,HDFCN26040115396
BL-0046,2026-04-03,NEFT CR RAZORPAY SOFTWARE PVT LTD SETL setl_00045,6280831,,384488377,HDFCN26040378561
BL-0047,2026-04-06,NEFT CR RAZORPAY SOFTWARE PVT LTD SETL setl_00046,2244116,,386732493,HDFCN26040658529
BL-0048,2026-04-10,UPI  CR   RAZORPAY*COLLECT TRUNCAT,6332891,,393065384,
BL-0049,2026-04-11,NEFT CR   PAYOUT,3399422,,396464806,
BL-0075,2026-04-11,NEFT CR   PAYOUT,3399422,,399864228,
BL-0050,2026-04-13,NEFT CR RAZORPAY SOFTWARE PVT LTD SETL setl_00049,8657598,,408521826,HDFCN26041397880
BL-0051,2026-04-14,NEFT CR RAZORPAY SOFTWARE PVT LTD SETL setl_00050,5914963,,414436789,HDFCN26041465230
BL-0052,2026-04-18,NEFT CR RAZORPAY SOFTWARE PVT LTD SETL setl_00051,4540534,,418977323,HDFCN26041883746
BL-0053,2026-04-20,NEFT CR RAZORPAY SOFTWARE PVT LTD SETL setl_00052,8135368,,427112691,HDFCN26042001061
BL-0054,2026-04-23,NEFT CR RAZORPAY SOFTWARE PVT LTD SETL setl_00053,3912038,,431024729,HDFCN26042328705
BL-0055,2026-04-25,NEFT CR RAZORPAY SOFTWARE PVT LTD SETL setl_00054,6021122,,437045851,HDFCN26042538680
BL-0056,2026-04-27,NEFT CR RAZORPAY SOFTWARE PVT LTD SETL setl_00055,11380498,,448426349,HDFCN26042751717
BL-0057,2026-04-28,NEFT CR RAZORPAY SOFTWARE PVT LTD SETL setl_00056,10292272,,458718621,HDFCN26042883283
BL-0059,2026-05-04,NEFT CR RAZORPAY SOFTWARE PVT LTD SETL setl_00058,2948830,,461667451,HDFCN26050413022
BL-0060,2026-05-06,NEFT CR RAZORPAY SOFTWARE PVT LTD SETL setl_00059,4715035,,466382486,HDFCN26050672641
BL-0061,2026-05-07,NEFT CR RAZORPAY SOFTWARE PVT LTD SETL setl_00060,11549408,,477931894,HDFCN26050795321
BL-0063,2026-05-12,NEFT CR RAZORPAY SOFTWARE PVT LTD SETL setl_00062,4724854,,482656748,HDFCN26051290023
BL-0064,2026-05-14,NEFT CR RAZORPAY SOFTWARE PVT LTD SETL setl_00063,629761,,483286509,HDFCN26051472924
BL-0065,2026-05-16,NEFT CR RAZORPAY SOFTWARE PVT LTD SETL setl_00064 PART 1 OF 2,8675241,,491961750,HDFCN26051646009
BL-0168,2026-05-17,NEFT CR RAZORPAY SOFTWARE PVT LTD SETL setl_00064 PART 2 OF 2,8675242,,500636992,HDFCN26051738680
BL-0067,2026-05-18,NEFT CR RAZORPAY SOFTWARE PVT LTD SETL setl_00066,11150002,,511786994,HDFCN26051845242
BL-0062,2026-05-19,NEFT/RZP/SETL-00061/MAY26,8031435,,519818429,HDFCN26051908885
BL-0068,2026-05-20,NEFT CR RAZORPAY SOFTWARE PVT LTD SETL setl_00067,1853117,,521671546,HDFCN26052001007
BL-0069,2026-05-22,NEFT CR RAZORPAY SOFTWARE PVT LTD SETL setl_00068,4933867,,526605413,HDFCN26052202456
BL-0070,2026-05-24,NEFT CR RAZORPAY SOFTWARE PVT LTD SETL setl_00069,2043076,,528648489,HDFCN26052415096
BL-0071,2026-05-25,NEFT CR RAZORPAY SOFTWARE PVT LTD SETL setl_00070,2025237,,530673726,HDFCN26052557240
BL-0072,2026-05-26,NEFT CR RAZORPAY SOFTWARE PVT LTD SETL setl_00071,5718292,,536392018,HDFCN26052666910
BL-0073,2026-05-29,NEFT CR RAZORPAY SOFTWARE PVT LTD SETL setl_00072,3429073,,539821091,HDFCN26052913474
BL-0074,2026-05-31,NEFT CR RAZORPAY SOFTWARE PVT LTD SETL setl_00073,6870685,,546691776,HDFCN26053157961
BL-0076,2026-06-06,NEFT CR RAZORPAY SOFTWARE PVT LTD SETL setl_00075,2762060,,549453836,HDFCN26060668690
BL-0077,2026-06-08,NEFT CR RAZORPAY SOFTWARE PVT LTD SETL setl_00076,10338351,,559792187,HDFCN26060884675
BL-0078,2026-06-12,NEFT CR RAZORPAY SOFTWARE PVT LTD SETL setl_00077,9020211,,568812398,HDFCN26061220218
BL-0079,2026-06-12,NEFT CR RAZORPAY SOFTWARE PVT LTD SETL setl_00078,8820531,,577632929,HDFCN26061269993
BL-0081,2026-06-17,NEFT CR RAZORPAY SOFTWARE PVT LTD SETL setl_00080,4580976,,582213905,HDFCN26061758893
BL-0080,2026-06-19,NEFT CR RZPX*ACME RET PL REF SETL 00079 BATCH JUN,7107696,,589321601,HDFCN26061913726
BL-0082,2026-06-19,NEFT CR RAZORPAY SOFTWARE PVT LTD SETL setl_00081,3054211,,592375812,HDFCN26061950615
BL-0083,2026-06-20,NEFT CR RAZORPAY SOFTWARE PVT LTD SETL setl_00082,6941458,,599317270,HDFCN26062002490
BL-0084,2026-06-22,NEFT CR RAZORPAY SOFTWARE PVT LTD SETL setl_00083,2968370,,602285640,HDFCN26062214530
BL-0085,2026-06-25,NEFT CR RAZORPAY SOFTWARE PVT LTD SETL setl_00084,17191926,,619477566,HDFCN26062517486
BL-0086,2026-06-25,NEFT CR RAZORPAY SOFTWARE PVT LTD SETL setl_00085,12616784,,632094350,HDFCN26062505492
BL-0087,2026-06-28,UPI  CR   RAZORPAY*COLLECT TRUNCAT,6992787,,639087137,
BL-0088,2026-06-30,NEFT CR RAZORPAY SOFTWARE PVT LTD SETL setl_00087,4957782,,644044919,HDFCN26063042101
BL-0089,2026-06-30,NEFT CR RAZORPAY SOFTWARE PVT LTD SETL setl_00088,2137763,,646182682,HDFCN26063090408
BL-0090,2026-07-02,NEFT CR RAZORPAY SOFTWARE PVT LTD SETL setl_00089,9383212,,655565894,HDFCN26070216545
BL-0091,2026-07-03,NEFT CR RAZORPAY SOFTWARE PVT LTD SETL setl_00090,8062641,,663628535,HDFCN26070375225
BL-0093,2026-07-07,NEFT CR RAZORPAY SOFTWARE PVT LTD SETL setl_00092,10481744,,674110279,HDFCN26070772616
BL-0094,2026-07-10,NEFT CR RAZORPAY SOFTWARE PVT LTD SETL setl_00093,8489560,,682599839,HDFCN26071016821
BL-0092,2026-07-11,IMPS CR RZP BATCH 14 OF 24 STLMNT91 CYCLE JUL26,8720787,,691320626,HDFCN26071121802
BL-0095,2026-07-12,NEFT CR RAZORPAY SOFTWARE PVT LTD SETL setl_00094,11831382,,703152008,HDFCN26071203718
BL-0096,2026-07-13,NEFT CR RAZORPAY SOFTWARE PVT LTD SETL setl_00095,4135291,,707287299,HDFCN26071365278
BL-0097,2026-07-16,NEFT CR RAZORPAY SOFTWARE PVT LTD SETL setl_00096,15326756,,722614055,HDFCN26071641827
BL-0098,2026-07-18,NEFT CR RAZORPAY SOFTWARE PVT LTD SETL setl_00097,4088387,,726702442,HDFCN26071865191
BL-0099,2026-07-18,NEFT CR RAZORPAY SOFTWARE PVT LTD SETL setl_00098,2553942,,729256384,HDFCN26071806624
BL-0100,2026-07-21,NEFT  CR  RZPX SETTLEMEN,11387692,,740644076,
BL-0101,2026-07-24,NEFT CR RAZORPAY SOFTWARE PVT LTD SETL setl_00100,14851179,,755495255,HDFCN26072402180
BL-0102,2026-07-25,NEFT CR RAZORPAY SOFTWARE PVT LTD SETL setl_00101,12837657,,768332912,HDFCN26072589224
BL-0103,2026-07-27,NEFT CR RAZORPAY SOFTWARE PVT LTD SETL setl_00102,3639714,,771972626,HDFCN26072719848
BL-0104,2026-07-28,NEFT CR RAZORPAY SOFTWARE PVT LTD SETL setl_00103,4032682,,776005308,HDFCN26072860249
BL-0105,2026-08-01,NEFT CR RAZORPAY SOFTWARE PVT LTD SETL setl_00104,6824593,,782829901,HDFCN26080137721
BL-0106,2026-08-01,NEFT CR RAZORPAY SOFTWARE PVT LTD SETL setl_00105,13181604,,796011505,HDFCN26080100679
BL-0107,2026-08-04,NEFT CR RAZORPAY SOFTWARE PVT LTD SETL setl_00106,4735839,,800747344,HDFCN26080470143
BL-0108,2026-08-08,NEFT CR RAZORPAY SOFTWARE PVT LTD SETL setl_00107,1163958,,801911302,HDFCN26080864930
BL-0110,2026-08-11,NEFT CR RAZORPAY SOFTWARE PVT LTD SETL setl_00109,10106299,,812017601,HDFCN26081134181
BL-0109,2026-08-12,NEFT CR RZPX*ACME RET PL SETL NO 00 108 VAL 08AUG26,5665800,,817683401,HDFCN26081211497
BL-0111,2026-08-14,UPI  CR   RAZORPAY*COLLECT TRUNCAT,4609751,,822293152,
BL-0112,2026-08-15,NEFT CR RAZORPAY SOFTWARE PVT LTD SETL setl_00111,13230212,,835523364,HDFCN26081569228
BL-0113,2026-08-17,NEFT CR RAZORPAY SOFTWARE PVT LTD SETL setl_00112,4746242,,840269606,HDFCN26081766895
BL-0114,2026-08-20,RZPX*ACME  RET PL,2937456,,843207062,
BL-0115,2026-08-21,NEFT CR RAZORPAY SOFTWARE PVT LTD SETL setl_00114,2571148,,845778210,HDFCN26082155534
BL-0116,2026-08-24,NEFT CR RAZORPAY SOFTWARE PVT LTD SETL setl_00115,3496346,,849274556,HDFCN26082453591
BL-0117,2026-08-24,NEFT CR RAZORPAY SOFTWARE PVT LTD SETL setl_00116,6589344,,855863900,HDFCN26082485660
BL-0118,2026-08-26,NEFT CR RAZORPAY SOFTWARE PVT LTD SETL setl_00117,1129338,,856993238,HDFCN26082639107
BL-0119,2026-08-28,NEFT CR RAZORPAY SOFTWARE PVT LTD SETL setl_00118,6340571,,863333809,HDFCN26082898878
BL-0120,2026-08-29,NEFT CR RAZORPAY SOFTWARE PVT LTD SETL setl_00119,6986663,,870320472,HDFCN26082954206
BL-0121,2026-09-01,NEFT CR RAZORPAY SOFTWARE PVT LTD SETL setl_00120,3679014,,873999486,HDFCN26090131584
BL-0122,2026-09-01,NEFT CR RAZORPAY SOFTWARE PVT LTD SETL setl_00121,9411502,,883410988,HDFCN26090106755
BL-0123,2026-09-04,NEFT CR RAZORPAY SOFTWARE PVT LTD SETL setl_00122,10435566,,893846554,HDFCN26090449894
BL-0124,2026-09-05,NEFT CR RAZORPAY SOFTWARE PVT LTD SETL setl_00123,15048817,,908895371,HDFCN26090565444
BL-0125,2026-09-08,NEFT CR RAZORPAY SOFTWARE PVT LTD SETL setl_00124,6952540,,915847911,HDFCN26090800836
BL-0126,2026-09-11,NEFT CR RAZORPAY SOFTWARE PVT LTD SETL setl_00125 PART 1 OF 2,2919713,,918767624,HDFCN26091102061
BL-0127,2026-09-11,NEFT CR RAZORPAY SOFTWARE PVT LTD SETL setl_00126,10039026,,928806650,HDFCN26091139318
BL-0171,2026-09-12,NEFT CR RAZORPAY SOFTWARE PVT LTD SETL setl_00125 PART 2 OF 2,2589181,,931395831,HDFCN26091251851
BL-0128,2026-09-15,NEFT CR RAZORPAY SOFTWARE PVT LTD SETL setl_00127,4213599,,935609430,HDFCN26091507355
BL-0129,2026-09-18,NEFT CR RAZORPAY SOFTWARE PVT LTD SETL setl_00128,4526439,,940135869,HDFCN26091874167
BL-0130,2026-09-19,NEFT CR RAZORPAY SOFTWARE PVT LTD SETL setl_00129,6290797,,946426666,HDFCN26091950311
BL-0131,2026-09-22,NEFT CR RAZORPAY SOFTWARE PVT LTD SETL setl_00130,5967750,,952394416,HDFCN26092203883
BL-0132,2026-09-24,NEFT CR RAZORPAY SOFTWARE PVT LTD SETL setl_00131,7337707,,959732123,HDFCN26092496948
BL-0133,2026-09-27,NEFT CR RAZORPAY SOFTWARE PVT LTD SETL setl_00132,7482558,,967214681,HDFCN26092772642
BL-0134,2026-09-27,NEFT CR RAZORPAY SOFTWARE PVT LTD SETL setl_00133,16707405,,983922086,HDFCN26092760012
BL-0135,2026-09-29,NEFT CR RAZORPAY SOFTWARE PVT LTD SETL setl_00134 PART 1 OF 2,2565357,,986487443,HDFCN26092942030
BL-0172,2026-09-30,NEFT CR RAZORPAY SOFTWARE PVT LTD SETL setl_00134 PART 2 OF 2,1572317,,988059760,HDFCN26093051327
BL-0136,2026-10-02,IMPS  CR   RZP*MERCHANT PAYOU,7830880,,995890640,
BL-0137,2026-10-02,NEFT CR RAZORPAY SOFTWARE PVT LTD SETL setl_00136,16579956,,1012470596,HDFCN26100214335
BL-0138,2026-10-03,NEFT CR RAZORPAY SOFTWARE PVT LTD SETL setl_00137,6638729,,1019109325,HDFCN26100345215
BL-0141,2026-10-09,NEFT CR RAZORPAY SOFTWARE PVT LTD SETL setl_00140,10347295,,1029456620,HDFCN26100914936
BL-0142,2026-10-11,NEFT CR RAZORPAY SOFTWARE PVT LTD SETL setl_00141,11633550,,1041090170,HDFCN26101154819
BL-0143,2026-10-13,NEFT CR RAZORPAY SOFTWARE PVT LTD SETL setl_00142,8177160,,1049267330,HDFCN26101341232
BL-0140,2026-10-14,NEFT CR RZPX*ACME RET PL REF SETL 00139 BATCH OCT,4362728,,1053630058,HDFCN26101480431
BL-0144,2026-10-16,NEFT CR RAZORPAY SOFTWARE PVT LTD SETL setl_00143,14349937,,1067979995,HDFCN26101671046
BL-0145,2026-10-16,IMPS  CR   RZP*MERCHANT PAYOU,12897347,,1080877342,
BL-0146,2026-10-19,NEFT CR RAZORPAY SOFTWARE PVT LTD SETL setl_00145,5757960,,1086635302,HDFCN26101919168
BL-0147,2026-10-22,NEFT CR RAZORPAY SOFTWARE PVT LTD SETL setl_00146,8289347,,1094924649,HDFCN26102296039
BL-0148,2026-10-23,NEFT CR RAZORPAY SOFTWARE PVT LTD SETL setl_00147,9623431,,1104548080,HDFCN26102316284
BL-0150,2026-10-26,NEFT CR RAZORPAY SOFTWARE PVT LTD SETL setl_00149,55511,,1104603591,HDFCN26102601217
BL-0151,2026-10-26,NEFT CR RAZORPAY SOFTWARE PVT LTD SETL setl_00150,5261093,,1109864684,HDFCN26102608966
BL-0149,2026-10-29,NEFT CR RZPX*ACME RET PL SETL NO 00 148 VAL 24OCT26,8168605,,1118033289,HDFCN26102978956
BL-0152,2026-10-29,NEFT CR RAZORPAY SOFTWARE PVT LTD SETL setl_00151,15464995,,1133498284,HDFCN26102998021
BL-0153,2026-11-04,NEFT CR RZPX*ACME RET PL REF SETL 00152 BATCH OCT,8099000,,1141597284,HDFCN26110430490
BL-0154,2026-11-04,NEFT CR RAZORPAY SOFTWARE PVT LTD SETL setl_00153 PART 1 OF 2,1907362,,1143504646,HDFCN26110482388
BL-0170,2026-11-05,NEFT CR RAZORPAY SOFTWARE PVT LTD SETL setl_00153 PART 2 OF 2,2861044,,1146365690,HDFCN26110540508
BL-0155,2026-11-07,UPI  CR   RAZORPAY*COLLECT TRUNCAT,13677597,,1160043287,
BL-0156,2026-11-09,NEFT CR RAZORPAY SOFTWARE PVT LTD SETL setl_00155,2019064,,1162062351,HDFCN26110921473
BL-0157,2026-11-12,NEFT CR RAZORPAY SOFTWARE PVT LTD SETL setl_00156,9880176,,1171942527,HDFCN26111259663
BL-0158,2026-11-15,RZPX*ACME  RET PL,1435092,,1173377619,
BL-0159,2026-11-16,NEFT CR RAZORPAY SOFTWARE PVT LTD SETL setl_00158,3570910,,1176948529,HDFCN26111635554
BL-0160,2026-11-16,NEFT CR   PAYOUT,13245961,,1190194490,
BL-0161,2026-11-16,NEFT CR   PAYOUT,13245961,,1203440451,
BL-0162,2026-11-20,NEFT CR RAZORPAY SOFTWARE PVT LTD SETL setl_00161,11845284,,1215285735,HDFCN26112013848
BL-0163,2026-11-22,NEFT CR RAZORPAY SOFTWARE PVT LTD SETL setl_00162,6432342,,1221718077,HDFCN26112251936
BL-0164,2026-11-25,NEFT CR RAZORPAY SOFTWARE PVT LTD SETL setl_00163,4362922,,1226080999,HDFCN26112559270
BL-0165,2026-11-27,NEFT CR RAZORPAY SOFTWARE PVT LTD SETL setl_00164,11266952,,1237347951,HDFCN26112705596
BL-0166,2026-11-30,NEFT CR RAZORPAY SOFTWARE PVT LTD SETL setl_00165,1118851,,1238466802,HDFCN26113022650
BL-0167,2026-12-01,NEFT CR RAZORPAY SOFTWARE PVT LTD SETL setl_00166,1240953,,1239707755,HDFCN26120180492
